$0;1700671496967494983;1.15;KIEKER;durian;1;false;0;NANOSECONDS;0
$1;1700671497016623759;public void tools.descartes.teastore.persistence.RepositoryTest.setup();<no-session-id>;3671700333702152193;1700671496969381419;1700671497016457684;durian;0;0
$1;1700671497989297253;public tools.descartes.teastore.persistence.domain.PersistenceUser tools.descartes.teastore.persistence.domain.UserRepository.getUserByName(java.lang.String);<no-session-id>;3671700333702152194;1700671497977286856;1700671497989282362;durian;2;2
$1;1700671498007967870;public long tools.descartes.teastore.persistence.domain.PersistenceUser.getId();<no-session-id>;3671700333702152194;1700671498007464475;1700671498007953840;durian;3;2
$1;1700671498008002724;public long tools.descartes.teastore.persistence.domain.UserRepository.createEntity(tools.descartes.teastore.entities.User);<no-session-id>;3671700333702152194;1700671497976329474;1700671498007995727;durian;1;1
$1;1700671498009221230;public tools.descartes.teastore.persistence.domain.PersistenceUser tools.descartes.teastore.persistence.domain.UserRepository.getUserByName(java.lang.String);<no-session-id>;3671700333702152194;1700671498008114095;1700671498009211251;durian;5;2
$1;1700671498010423575;public long tools.descartes.teastore.persistence.domain.PersistenceUser.getId();<no-session-id>;3671700333702152194;1700671498010410957;1700671498010414011;durian;6;2
$1;1700671498010444928;public long tools.descartes.teastore.persistence.domain.UserRepository.createEntity(tools.descartes.teastore.entities.User);<no-session-id>;3671700333702152194;1700671498008040645;1700671498010437043;durian;4;1
$1;1700671498012029055;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;3671700333702152194;1700671498012010925;1700671498012020096;durian;8;2
$1;1700671498012053657;public long tools.descartes.teastore.persistence.domain.CategoryRepository.createEntity(tools.descartes.teastore.entities.Category);<no-session-id>;3671700333702152194;1700671498010559167;1700671498012046548;durian;7;1
$1;1700671498013080715;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;3671700333702152194;1700671498013049530;1700671498013051912;durian;10;2
$1;1700671498013099746;public long tools.descartes.teastore.persistence.domain.CategoryRepository.createEntity(tools.descartes.teastore.entities.Category);<no-session-id>;3671700333702152194;1700671498012079195;1700671498013092132;durian;9;1
$1;1700671498025304838;public boolean tools.descartes.teastore.persistence.domain.CategoryRepository.updateEntity(long, tools.descartes.teastore.entities.Category);<no-session-id>;3671700333702152194;1700671498022867506;1700671498025284580;durian;11;1
$1;1700671498026178721;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setCategory(tools.descartes.teastore.persistence.domain.PersistenceCategory);<no-session-id>;3671700333702152194;1700671498026162762;1700671498026168242;durian;13;2
$1;1700671498027889191;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;3671700333702152194;1700671498027815858;1700671498027867289;durian;14;2
$1;1700671498027933189;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;3671700333702152194;1700671498025813645;1700671498027923842;durian;12;1
$1;1700671498028311443;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setCategory(tools.descartes.teastore.persistence.domain.PersistenceCategory);<no-session-id>;3671700333702152194;1700671498028301323;1700671498028303597;durian;16;2
$1;1700671498029697279;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;3671700333702152194;1700671498029685687;1700671498029688067;durian;17;2
$1;1700671498029712822;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;3671700333702152194;1700671498027962246;1700671498029708910;durian;15;1
$1;1700671498030484584;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setId(long);<no-session-id>;3671700333702152194;1700671498030464012;1700671498030474311;durian;19;2
$1;1700671498030548441;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;3671700333702152194;1700671498030539830;1700671498030541938;durian;20;2
$1;1700671498030558370;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;3671700333702152194;1700671498029723887;1700671498030553953;durian;18;1
$1;1700671498032949968;public boolean tools.descartes.teastore.persistence.domain.ProductRepository.updateEntity(long, tools.descartes.teastore.entities.Product);<no-session-id>;3671700333702152194;1700671498031549547;1700671498032936802;durian;21;1
$1;1700671498035824746;public void tools.descartes.teastore.persistence.domain.PersistenceOrder.setUser(tools.descartes.teastore.persistence.domain.PersistenceUser);<no-session-id>;3671700333702152194;1700671498035806391;1700671498035814064;durian;23;2
$1;1700671498050628324;public long tools.descartes.teastore.persistence.domain.PersistenceOrder.getId();<no-session-id>;3671700333702152194;1700671498050607716;1700671498050617872;durian;24;2
$1;1700671498050658180;public long tools.descartes.teastore.persistence.domain.OrderRepository.createEntity(tools.descartes.teastore.entities.Order);<no-session-id>;3671700333702152194;1700671498035151114;1700671498050649168;durian;22;1
