$0;1700674372655754597;1.15;KIEKER;durian;1;false;0;NANOSECONDS;0
$1;1700674372708683691;public void tools.descartes.teastore.persistence.RepositoryTest.setup();<no-session-id>;8090575993082740737;1700674372658618442;1700674372708496929;durian;0;0
$1;1700674373714791695;public tools.descartes.teastore.persistence.domain.PersistenceUser tools.descartes.teastore.persistence.domain.UserRepository.getUserByName(java.lang.String);<no-session-id>;8090575993082740738;1700674373696110271;1700674373714776568;durian;2;2
$1;1700674373739382536;public long tools.descartes.teastore.persistence.domain.PersistenceUser.getId();<no-session-id>;8090575993082740738;1700674373738650563;1700674373739366965;durian;3;2
$1;1700674373739420031;public long tools.descartes.teastore.persistence.domain.UserRepository.createEntity(tools.descartes.teastore.entities.User);<no-session-id>;8090575993082740738;1700674373694246160;1700674373739410755;durian;1;1
$1;1700674373740800379;public tools.descartes.teastore.persistence.domain.PersistenceUser tools.descartes.teastore.persistence.domain.UserRepository.getUserByName(java.lang.String);<no-session-id>;8090575993082740738;1700674373739536799;1700674373740786375;durian;5;2
$1;1700674373742034030;public long tools.descartes.teastore.persistence.domain.PersistenceUser.getId();<no-session-id>;8090575993082740738;1700674373742019572;1700674373742023034;durian;6;2
$1;1700674373742057848;public long tools.descartes.teastore.persistence.domain.UserRepository.createEntity(tools.descartes.teastore.entities.User);<no-session-id>;8090575993082740738;1700674373739459901;1700674373742050287;durian;4;1
$1;1700674373743523471;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;8090575993082740738;1700674373743502491;1700674373743511931;durian;8;2
$1;1700674373743550328;public long tools.descartes.teastore.persistence.domain.CategoryRepository.createEntity(tools.descartes.teastore.entities.Category);<no-session-id>;8090575993082740738;1700674373742175867;1700674373743542052;durian;7;1
$1;1700674373744667413;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;8090575993082740738;1700674373744653980;1700674373744656674;durian;10;2
$1;1700674373744689926;public long tools.descartes.teastore.persistence.domain.CategoryRepository.createEntity(tools.descartes.teastore.entities.Category);<no-session-id>;8090575993082740738;1700674373743575393;1700674373744681941;durian;9;1
$1;1700674373759762265;public boolean tools.descartes.teastore.persistence.domain.CategoryRepository.updateEntity(long, tools.descartes.teastore.entities.Category);<no-session-id>;8090575993082740738;1700674373756514940;1700674373759745631;durian;11;1
$1;1700674373760641539;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setCategory(tools.descartes.teastore.persistence.domain.PersistenceCategory);<no-session-id>;8090575993082740738;1700674373760624996;1700674373760631159;durian;13;2
$1;1700674373762729122;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;8090575993082740738;1700674373762707780;1700674373762717283;durian;14;2
$1;1700674373762759220;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;8090575993082740738;1700674373760305335;1700674373762751463;durian;12;1
$1;1700674373763158215;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setCategory(tools.descartes.teastore.persistence.domain.PersistenceCategory);<no-session-id>;8090575993082740738;1700674373763145063;1700674373763147944;durian;16;2
$1;1700674373764605658;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;8090575993082740738;1700674373764591737;1700674373764594602;durian;17;2
$1;1700674373764630100;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;8090575993082740738;1700674373762785939;1700674373764621908;durian;15;1
$1;1700674373765518399;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setId(long);<no-session-id>;8090575993082740738;1700674373765499606;1700674373765508483;durian;19;2
$1;1700674373765599885;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;8090575993082740738;1700674373765588962;1700674373765592052;durian;20;2
$1;1700674373765612175;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;8090575993082740738;1700674373764645951;1700674373765606411;durian;18;1
$1;1700674373768046495;public boolean tools.descartes.teastore.persistence.domain.ProductRepository.updateEntity(long, tools.descartes.teastore.entities.Product);<no-session-id>;8090575993082740738;1700674373766602903;1700674373768032483;durian;21;1
$1;1700674373770859765;public void tools.descartes.teastore.persistence.domain.PersistenceOrder.setUser(tools.descartes.teastore.persistence.domain.PersistenceUser);<no-session-id>;8090575993082740738;1700674373770841820;1700674373770848584;durian;23;2
