$0;1700624971148618099;1.15;KIEKER;durian;1;false;0;NANOSECONDS;0
$1;1700624971220175930;public void tools.descartes.teastore.persistence.RepositoryTest.setup();<no-session-id>;4865998659885465601;1700624971151033024;1700624971219909511;durian;0;0
$1;1700624972232233115;public tools.descartes.teastore.persistence.domain.PersistenceUser tools.descartes.teastore.persistence.domain.UserRepository.getUserByName(java.lang.String);<no-session-id>;4865998659885465602;1700624972218144102;1700624972232216471;durian;2;2
$1;1700624972248104850;public long tools.descartes.teastore.persistence.domain.PersistenceUser.getId();<no-session-id>;4865998659885465602;1700624972247737605;1700624972248091982;durian;3;2
$1;1700624972248127106;public long tools.descartes.teastore.persistence.domain.UserRepository.createEntity(tools.descartes.teastore.entities.User);<no-session-id>;4865998659885465602;1700624972216888854;1700624972248123258;durian;1;1
$1;1700624972249102759;public tools.descartes.teastore.persistence.domain.PersistenceUser tools.descartes.teastore.persistence.domain.UserRepository.getUserByName(java.lang.String);<no-session-id>;4865998659885465602;1700624972248193956;1700624972249095241;durian;5;2
$1;1700624972249944244;public long tools.descartes.teastore.persistence.domain.PersistenceUser.getId();<no-session-id>;4865998659885465602;1700624972249935035;1700624972249937207;durian;6;2
$1;1700624972249956969;public long tools.descartes.teastore.persistence.domain.UserRepository.createEntity(tools.descartes.teastore.entities.User);<no-session-id>;4865998659885465602;1700624972248148799;1700624972249953633;durian;4;1
$1;1700624972250995352;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;4865998659885465602;1700624972250972596;1700624972250987470;durian;8;2
$1;1700624972251008813;public long tools.descartes.teastore.persistence.domain.CategoryRepository.createEntity(tools.descartes.teastore.entities.Category);<no-session-id>;4865998659885465602;1700624972250027329;1700624972251005448;durian;7;1
$1;1700624972251691860;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;4865998659885465602;1700624972251684232;1700624972251686107;durian;10;2
$1;1700624972251703085;public long tools.descartes.teastore.persistence.domain.CategoryRepository.createEntity(tools.descartes.teastore.entities.Category);<no-session-id>;4865998659885465602;1700624972251022985;1700624972251699835;durian;9;1
$1;1700624972262046307;public boolean tools.descartes.teastore.persistence.domain.CategoryRepository.updateEntity(long, tools.descartes.teastore.entities.Category);<no-session-id>;4865998659885465602;1700624972259928926;1700624972262033121;durian;11;1
$1;1700624972262600276;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setCategory(tools.descartes.teastore.persistence.domain.PersistenceCategory);<no-session-id>;4865998659885465602;1700624972262587894;1700624972262592787;durian;13;2
$1;1700624972264162175;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;4865998659885465602;1700624972264147216;1700624972264154734;durian;14;2
$1;1700624972264177082;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;4865998659885465602;1700624972262354845;1700624972264173589;durian;12;1
$1;1700624972264372263;public void tools.descartes.teastore.persistence.domain.PersistenceProduct.setCategory(tools.descartes.teastore.persistence.domain.PersistenceCategory);<no-session-id>;4865998659885465602;1700624972264366226;1700624972264367621;durian;16;2
$1;1700624972265327509;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;4865998659885465602;1700624972265320206;1700624972265322208;durian;17;2
$1;1700624972265339127;public long tools.descartes.teastore.persistence.domain.ProductRepository.createEntity(tools.descartes.teastore.entities.Product);<no-session-id>;4865998659885465602;1700624972264190041;1700624972265335872;durian;15;1
