$0;1700686789205487859;1.15;KIEKER;durian;1;false;0;NANOSECONDS;0
$1;1700686789209006809;public void tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.setAlgo(tools.descartes.teastore.recommender.algorithm.AbstractRecommender);<no-session-id>;5212635093704638465;1700686789208819051;1700686789208825696;durian;2;2
$1;1700686789209029896;protected void tools.descartes.teastore.recommender.algorithm.SlopeOneRecommenderTest.setupAlgo();<no-session-id>;5212635093704638465;1700686789208344149;1700686789209022691;durian;1;1
$1;1700686789209879265;public void tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.setup();<no-session-id>;5212635093704638465;1700686789208293923;1700686789209869585;durian;0;0
$1;1700686789210006266;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638466;1700686789209996303;1700686789210000133;durian;1;1
$1;1700686789210046936;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getTrainOrderItems();<no-session-id>;5212635093704638466;1700686789210038048;1700686789210042102;durian;2;1
$1;1700686789210083045;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getTrainOrders();<no-session-id>;5212635093704638466;1700686789210074928;1700686789210078419;durian;3;1
$1;1700686789217412341;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638466;1700686789217396867;1700686789217400141;durian;4;1
$1;1700686789217501393;public void tools.descartes.teastore.recommender.algorithm.AbstractRecommenderFunctionalityTest.testAbstractFunctions();<no-session-id>;5212635093704638466;1700686789209961238;1700686789217492400;durian;0;0
$1;1700686789219168527;public void tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.setAlgo(tools.descartes.teastore.recommender.algorithm.AbstractRecommender);<no-session-id>;5212635093704638467;1700686789219151831;1700686789219153466;durian;2;2
$1;1700686789219194134;protected void tools.descartes.teastore.recommender.algorithm.SlopeOneRecommenderTest.setupAlgo();<no-session-id>;5212635093704638467;1700686789219141176;1700686789219186186;durian;1;1
$1;1700686789219224976;public void tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.setup();<no-session-id>;5212635093704638467;1700686789219127703;1700686789219218282;durian;0;0
$1;1700686789219346372;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789219336650;1700686789219338512;durian;1;1
$1;1700686789219369019;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getTrainOrderItems();<no-session-id>;5212635093704638468;1700686789219360920;1700686789219362620;durian;2;1
$1;1700686789219389207;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getTrainOrders();<no-session-id>;5212635093704638468;1700686789219381890;1700686789219383370;durian;3;1
$1;1700686789222207539;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789222189869;1700686789222191781;durian;6;3
$1;1700686789222296483;public java.util.Map tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.getDifferences();<no-session-id>;5212635093704638468;1700686789222274536;1700686789222287674;durian;7;3
$1;1700686789222349841;private void tools.descartes.teastore.recommender.algorithm.SlopeOneRecommenderTest.checkDiffMatrix();<no-session-id>;5212635093704638468;1700686789222133080;1700686789222342607;durian;5;2
$1;1700686789222450263;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789222441499;1700686789222442994;durian;9;3
$1;1700686789222520378;public java.util.Map tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.getFrequencies();<no-session-id>;5212635093704638468;1700686789222505758;1700686789222512486;durian;10;3
$1;1700686789222556428;private void tools.descartes.teastore.recommender.algorithm.SlopeOneRecommenderTest.checkFreqMatrix();<no-session-id>;5212635093704638468;1700686789222412191;1700686789222550088;durian;8;2
$1;1700686789222574486;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789222568046;1700686789222569411;durian;11;2
$1;1700686789222638510;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getRecommendSingle();<no-session-id>;5212635093704638468;1700686789222625882;1700686789222631997;durian;12;2
$1;1700686789224553924;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;5212635093704638468;1700686789222725656;1700686789224533480;durian;13;2
$1;1700686789224719724;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789224707059;1700686789224709757;durian;14;2
$1;1700686789224742835;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getRecommendSingle();<no-session-id>;5212635093704638468;1700686789224734861;1700686789224736543;durian;15;2
$1;1700686789225276339;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;5212635093704638468;1700686789224758844;1700686789225265365;durian;16;2
$1;1700686789225303222;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789225295021;1700686789225296846;durian;17;2
$1;1700686789225321266;public java.util.List tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getRecommendSingle();<no-session-id>;5212635093704638468;1700686789225314153;1700686789225315611;durian;18;2
$1;1700686789226348079;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;5212635093704638468;1700686789225334733;1700686789226334003;durian;19;2
$1;1700686789226364893;public void tools.descartes.teastore.recommender.algorithm.SlopeOneRecommenderTest.testSingleResults();<no-session-id>;5212635093704638468;1700686789222069237;1700686789226358272;durian;4;1
$1;1700686789226492821;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789226483130;1700686789226484743;durian;22;3
$1;1700686789226514320;public java.util.Map tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.getDifferences();<no-session-id>;5212635093704638468;1700686789226506629;1700686789226508313;durian;23;3
$1;1700686789226567197;private void tools.descartes.teastore.recommender.algorithm.SlopeOneRecommenderTest.checkDiffMatrix();<no-session-id>;5212635093704638468;1700686789226456306;1700686789226560799;durian;21;2
$1;1700686789226597380;public tools.descartes.teastore.recommender.algorithm.AbstractRecommender tools.descartes.teastore.recommender.algorithm.AbstractRecommenderTest.getAlgo();<no-session-id>;5212635093704638468;1700686789226590280;1700686789226591487;durian;25;3
$1;1700686789226614774;public java.util.Map tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.getFrequencies();<no-session-id>;5212635093704638468;1700686789226607760;1700686789226609470;durian;26;3
